"grid_x","grid_y","avg_vx","avg_vy","grid_id","final_grid","num_hops","status","result"
62,58,-0.935614824295044,-0.789919989449637,"62,58","53,45",12,"Success","53,45, 12, Success"
62,59,-0.914100607236226,-1.4214936097463,"62,59","53,45",12,"Success","53,45, 12, Success"
62,60,-1.26967105865479,-1.75209130181207,"62,60","53,45",11,"Success","53,45, 11, Success"
62,61,-1.55780902985604,-2.00855587374779,"62,61","53,45",10,"Success","53,45, 10, Success"
62,62,-1.38661239502278,-1.96537086811471,"62,62","53,45",11,"Success","53,45, 11, Success"
62,63,-0.929514141082764,-1.63682696024577,"62,63","53,45",11,"Success","53,45, 11, Success"
62,64,-1.11006571761275,-2.22051765644445,"62,64","53,45",11,"Success","53,45, 11, Success"
62,65,-0.859475572230452,-1.94133654287306,"62,65","53,45",13,"Success","53,45, 13, Success"
62,66,-1.25592732739139,-2.39574527740479,"62,66","53,45",12,"Success","53,45, 12, Success"
62,67,-0.702408123016357,-2.20946667989095,"62,67","53,45",14,"Success","53,45, 14, Success"
62,68,-3.08118276596069,-3.54705963134766,"62,68","54,57",4,"Success","54,57, 4, Success"
62,69,-0.423502785818917,-1.35442788260324,"62,69","53,45",13,"Success","53,45, 13, Success"
62,70,-2.15791549682617,-1.77016372680664,"62,70","54,57",5,"Success","54,57, 5, Success"
62,71,0.0120231083461217,-1.05869102478027,"62,71","53,45",14,"Success","53,45, 14, Success"
62,72,0.261770486831665,-1.9304043451945,"62,72","53,45",13,"Success","53,45, 13, Success"
62,73,0.545289699847882,-2.52000163151668,"62,73","53,45",13,"Success","53,45, 13, Success"
62,74,0.140191022087546,-2.15549738266889,"62,74","54,57",6,"Success","54,57, 6, Success"
62,75,0.772795073191325,-2.14316682815552,"62,75","53,45",15,"Success","53,45, 15, Success"
62,76,0.709765809955019,-0.596465862158573,"62,76","53,45",18,"Success","53,45, 18, Success"
62,77,0.496915817260742,-1.83654964671415,"62,77","53,45",17,"Success","53,45, 17, Success"
62,78,0.931573254721505,-1.79408434459141,"62,78","53,45",16,"Success","53,45, 16, Success"
62,79,1.42383854729789,-1.04245172228132,"62,79","53,45",18,"Success","53,45, 18, Success"
62,80,2.61957018715995,-2.28147452218192,"62,80","53,45",15,"Success","53,45, 15, Success"
62,81,-0.0605363845825195,-0.0933570861816406,"62,81","62,81",1,"Success","62,81, 1, Success"
63,3,-0.767947060721261,3.4219320842198,"63,3","53,45",11,"Success","53,45, 11, Success"
63,4,-0.797264979435847,3.9244940831111,"63,4","58,44",11,"Success","58,44, 11, Success"
63,5,-0.656206041574478,2.75583216547966,"63,5","58,44",11,"Success","58,44, 11, Success"
63,6,-1.27557083276602,3.88496455168113,"63,6","58,41",11,"Success","58,41, 11, Success"
63,7,-0.451384377479553,2.01584801673889,"63,7","58,44",11,"Success","58,44, 11, Success"
63,8,-0.678354465600216,3.0418277798277,"63,8","61,27",6,"Success","61,27, 6, Success"
63,9,-0.833590571085612,3.7830499013265,"63,9","53,45",11,"Success","53,45, 11, Success"
